Length (cm),L,M,S,-3 SD,-2 SD,-1 SD,Median,1 SD,2 SD,3 SD
45.0,-0.3833,2.4607,0.09029,1.9,2.1,2.3,2.5,2.7,3.0,3.3
45.5,-0.3833,2.5457,0.09033,2.0,2.1,2.3,2.5,2.8,3.1,3.4
46.0,-0.3833,2.6306,0.09037,2.0,2.2,2.4,2.6,2.9,3.2,3.5
46.5,-0.3833,2.7155,0.09040,2.1,2.3,2.5,2.7,3.0,3.3,3.6
47.0,-0.3833,2.8007,0.09044,2.2,2.4,2.6,2.8,3.1,3.4,3.7
47.5,-0.3833,2.8867,0.09048,2.2,2.4,2.6,2.9,3.2,3.5,3.8
48.0,-0.3833,2.9741,0.09052,2.3,2.5,2.7,3.0,3.3,3.6,4.0
48.5,-0.3833,3.0636,0.09056,2.4,2.6,2.8,3.1,3.4,3.7,4.1
49.0,-0.3833,3.1560,0.09060,2.4,2.6,2.9,3.2,3.5,3.8,4.2
49.5,-0.3833,3.2520,0.09064,2.5,2.7,3.0,3.3,3.6,3.9,4.3
50.0,-0.3833,3.3518,0.09068,2.6,2.8,3.1,3.4,3.7,4.0,4.5
50.5,-0.3833,3.4557,0.09072,2.7,2.9,3.2,3.5,3.8,4.2,4.6
51.0,-0.3833,3.5636,0.09076,2.8,3.0,3.3,3.6,3.9,4.3,4.8
51.5,-0.3833,3.6754,0.09080,2.8,3.1,3.4,3.7,4.0,4.4,4.9
52.0,-0.3833,3.7911,0.09085,2.9,3.2,3.5,3.8,4.2,4.6,5.1
52.5,-0.3833,3.9105,0.09089,3.0,3.3,3.6,3.9,4.3,4.7,5.2
53.0,-0.3833,4.0332,0.09093,3.1,3.4,3.7,4.0,4.4,4.9,5.4
53.5,-0.3833,4.1591,0.09098,3.2,3.5,3.8,4.2,4.6,5.0,5.5
54.0,-0.3833,4.2875,0.09102,3.3,3.6,3.9,4.3,4.7,5.2,5.7
54.5,-0.3833,4.4179,0.09106,3.4,3.7,4.0,4.4,4.8,5.3,5.9
55.0,-0.3833,4.5498,0.09110,3.5,3.8,4.2,4.5,5.0,5.5,6.1
55.5,-0.3833,4.6827,0.09114,3.6,3.9,4.3,4.7,5.1,5.7,6.3
56.0,-0.3833,4.8162,0.09118,3.7,4.0,4.4,4.8,5.3,5.8,6.4
56.5,-0.3833,4.9500,0.09121,3.8,4.1,4.5,5.0,5.4,6.0,6.6